student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,study_efficiency,health_score,engagement_score
S1194,23,1,2.6,4.0,1.1,0,89.4,6.9,1,0,1,1,10,0,66.6,0.42622950819672134,0.39666666666666667,0.6313333333333334
S1195,18,0,0.0,2.8,1.6,0,93.4,5.8,0,0,0,1,5,0,26.7,0.0,0.5266666666666667,0.6446666666666667
S1196,18,1,2.7,2.1,1.9,0,88.9,8.7,1,4,1,2,5,0,64.5,0.54,0.6788888888888889,0.6296666666666667
S1197,20,0,4.1,2.7,0.0,0,89.5,6.5,0,0,2,0,9,1,87.1,1.108108108108108,0.5499999999999999,0.965
S1198,21,1,1.3,0.4,2.3,1,69.2,5.5,1,1,1,1,8,1,42.2,0.35135135135135137,0.4055555555555556,0.5640000000000001
S1199,19,0,3.8,3.0,0.7,0,85.5,5.1,0,2,0,1,4,0,61.6,0.8085106382978723,0.6144444444444445,0.6183333333333333
S1200,23,0,3.5,1.3,0.5,0,89.8,7.8,0,2,0,1,7,0,81.9,1.25,0.7044444444444444,0.6326666666666667
S1201,24,1,4.4,0.9,0.0,0,92.3,5.8,0,3,1,1,8,0,96.5,2.3157894736842106,0.6933333333333334,0.641
S1202,23,1,3.7,0.7,0.0,0,78.1,6.6,0,1,3,0,9,0,85.1,2.1764705882352944,0.6088888888888889,0.5936666666666667
S1203,17,1,2.0,3.8,0.3,0,78.4,7.6,0,6,2,2,5,0,58.5,0.3921568627450981,0.9199999999999999,0.5946666666666667
S1204,20,1,5.3,1.7,1.0,0,79.3,5.9,0,0,0,1,3,1,78.4,1.4324324324324322,0.53,0.931
S1205,21,2,3.3,4.3,3.9,0,90.4,6.4,0,0,1,1,4,0,56.4,0.358695652173913,0.5466666666666667,0.6346666666666666
S1206,24,1,3.5,1.9,1.2,0,95.3,6.5,2,6,0,0,10,1,92.6,0.853658536585366,0.5499999999999999,0.9843333333333333
S1207,20,0,2.1,0.5,2.0,0,80.9,7.3,2,3,0,1,6,1,62.3,0.6,0.41,0.9363333333333334
S1208,22,1,2.8,1.2,2.2,1,94.1,7.2,0,3,1,0,10,0,75.8,0.6363636363636362,0.7399999999999999,0.31366666666666665
S1209,21,0,2.2,4.0,1.9,0,86.2,6.2,2,0,1,0,5,1,47.1,0.31884057971014496,0.20666666666666667,0.9540000000000001
S1210,23,0,3.2,2.3,1.7,1,83.8,6.6,2,0,2,1,9,0,66.3,0.64,0.21999999999999997,0.2793333333333333
S1211,23,0,6.1,1.8,0.5,0,82.9,6.1,1,6,0,1,3,1,98.3,1.8484848484848484,0.7033333333333333,0.9430000000000001
S1212,21,1,1.4,2.7,3.4,0,92.5,4.7,2,1,0,0,2,1,29.7,0.19718309859154928,0.21222222222222223,0.975
S1213,23,1,1.1,3.1,3.8,0,88.3,6.8,1,6,0,2,6,0,45.5,0.13924050632911394,0.7266666666666666,0.6276666666666667
S1214,19,1,5.7,3.8,0.0,0,100.0,8.8,0,3,3,0,7,0,100.0,1.1875,0.7933333333333333,0.6666666666666666
S1215,21,0,3.2,4.2,0.7,0,76.5,5.4,1,6,1,1,5,1,67.5,0.5423728813559322,0.68,0.9216666666666667
S1216,20,0,2.5,2.1,1.5,0,90.2,5.6,0,6,1,0,1,1,60.3,0.5434782608695653,0.8533333333333334,0.9673333333333334
S1217,21,2,5.1,0.9,0.7,0,79.7,5.5,0,6,1,1,3,0,87.0,1.9615384615384617,0.85,0.5990000000000001
S1218,24,1,2.6,2.0,2.4,0,76.3,7.4,0,1,0,1,3,0,48.5,0.48148148148148145,0.6355555555555555,0.5876666666666667
S1219,23,0,6.2,2.8,1.0,0,84.9,7.0,0,5,2,1,4,0,100.0,1.2916666666666667,0.8444444444444444,0.6163333333333334
S1220,19,0,4.5,1.3,4.2,0,86.4,6.3,0,0,1,0,10,0,82.1,0.6923076923076923,0.5433333333333333,0.6213333333333334
S1221,19,1,2.8,1.4,3.1,0,100.0,5.4,2,4,1,1,6,1,63.7,0.509090909090909,0.4022222222222222,1.0
S1222,22,1,6.7,2.9,2.0,0,83.2,6.6,1,6,0,0,5,0,100.0,1.135593220338983,0.7200000000000001,0.6106666666666667
S1223,20,0,2.6,2.4,2.9,0,73.7,4.6,0,4,2,0,1,0,41.9,0.41269841269841273,0.7088888888888888,0.5790000000000001
S1224,18,0,4.6,2.5,3.0,0,87.7,6.7,0,5,0,2,6,0,72.7,0.7076923076923076,0.8344444444444444,0.6256666666666667
S1225,18,0,3.9,1.6,1.2,0,64.3,7.5,1,0,2,0,9,1,74.3,1.0263157894736843,0.4166666666666667,0.8809999999999999
S1226,21,1,5.5,2.2,0.9,1,84.1,5.0,0,3,0,1,1,0,88.7,1.3414634146341462,0.6666666666666666,0.2803333333333333
S1227,22,0,5.8,1.4,1.9,0,85.2,4.7,1,4,0,0,8,1,96.6,1.3488372093023255,0.5455555555555556,0.9506666666666667
S1228,17,1,3.5,3.6,2.7,0,92.9,8.4,0,3,1,0,8,1,72.6,0.4794520547945206,0.7799999999999999,0.9763333333333334
S1229,21,1,2.4,3.7,2.0,0,94.7,5.8,1,4,1,1,3,1,52.4,0.3582089552238806,0.5822222222222222,0.9823333333333334
S1230,22,1,4.2,0.3,0.1,0,80.0,7.9,2,3,1,2,9,1,100.0,3.0,0.43,0.9333333333333332
S1231,20,0,2.5,1.4,0.9,0,83.5,6.3,1,6,0,1,8,0,73.1,0.7575757575757576,0.71,0.6116666666666667
S1232,20,0,6.5,0.7,1.7,0,77.3,6.3,1,4,2,0,3,0,100.0,1.911764705882353,0.5988888888888889,0.5910000000000001
S1233,20,0,3.7,1.7,1.7,0,73.7,7.0,0,3,2,2,10,1,80.8,0.8409090909090908,0.7333333333333334,0.9123333333333333
S1234,20,1,3.0,2.4,4.0,0,88.1,5.4,2,5,1,1,5,0,62.9,0.4054054054054054,0.45777777777777784,0.6269999999999999
S1235,20,0,3.8,0.8,0.3,0,72.3,6.7,0,1,1,2,3,0,71.5,1.8095238095238093,0.6122222222222222,0.5743333333333333
S1236,22,1,1.5,1.4,2.4,0,80.9,6.0,1,3,1,1,5,0,46.2,0.3125,0.5333333333333333,0.6030000000000001
S1237,22,0,2.0,1.3,3.4,1,75.0,4.9,0,1,1,0,9,0,53.8,0.3508771929824562,0.5522222222222223,0.25
S1238,19,1,5.3,2.7,4.3,0,90.5,6.9,0,1,0,2,4,1,74.2,0.6625,0.6188888888888889,0.9683333333333334
S1239,24,1,2.5,2.6,1.4,0,100.0,6.2,2,0,2,2,6,0,52.5,0.5,0.20666666666666667,0.6666666666666666
S1240,18,1,1.9,1.6,2.3,0,72.0,6.3,0,6,2,2,3,0,51.2,0.38775510204081626,0.8766666666666666,0.5733333333333334
S1241,23,1,4.3,2.7,2.4,1,66.5,5.0,0,5,0,2,3,0,60.6,0.7049180327868853,0.7777777777777778,0.22166666666666668
S1242,20,0,5.3,1.8,2.0,0,83.8,8.4,1,1,0,1,5,0,91.5,1.1041666666666667,0.5022222222222222,0.6126666666666667
S1243,17,0,4.6,2.2,1.7,0,85.2,7.6,0,2,0,0,8,0,87.3,0.9387755102040815,0.6977777777777777,0.6173333333333333
S1244,23,1,5.0,4.5,2.3,0,87.2,7.7,1,6,1,0,8,0,98.0,0.6410256410256411,0.7566666666666667,0.624
S1245,22,0,2.4,4.1,0.0,0,80.5,6.1,0,1,0,0,3,1,47.9,0.47058823529411764,0.5922222222222222,0.935
S1246,17,1,1.4,0.9,2.6,1,83.0,4.4,2,3,0,1,8,0,51.0,0.3111111111111111,0.31333333333333335,0.27666666666666667
S1247,17,0,5.8,3.5,1.9,0,88.7,8.8,0,1,0,1,8,1,90.0,0.9062499999999999,0.6822222222222223,0.9623333333333334
S1248,17,0,3.0,3.5,1.6,0,95.4,6.4,0,3,1,1,3,0,54.1,0.49180327868852464,0.7133333333333334,0.6513333333333334
S1249,19,0,3.1,1.1,4.1,0,65.4,5.6,1,3,1,1,10,1,58.4,0.5000000000000001,0.52,0.8846666666666666
S1250,22,1,5.5,3.5,1.1,1,81.3,7.0,1,2,1,0,10,0,100.0,0.9821428571428572,0.5111111111111111,0.27099999999999996
S1251,17,0,4.3,4.3,1.4,0,87.1,7.9,0,1,2,0,2,0,65.2,0.6417910447761195,0.6522222222222221,0.6236666666666667
S1252,20,0,4.2,1.2,4.0,0,75.8,6.5,0,1,1,1,10,0,85.3,0.6774193548387097,0.6055555555555555,0.586
S1253,21,1,6.7,1.4,0.9,0,100.0,8.0,0,4,0,1,2,0,93.8,2.0303030303030303,0.8222222222222223,0.6666666666666666
S1254,17,1,2.5,3.7,1.2,1,78.6,7.8,1,6,0,0,9,0,78.8,0.423728813559322,0.7600000000000001,0.26199999999999996
S1255,19,0,4.9,2.8,1.6,0,84.6,5.2,1,4,1,0,7,0,85.0,0.9074074074074074,0.5622222222222222,0.6153333333333334
S1256,23,0,3.6,3.2,2.7,0,90.6,5.7,1,0,0,1,6,0,64.5,0.5217391304347826,0.3566666666666667,0.6353333333333333
S1257,22,0,3.9,2.9,2.0,0,79.1,7.6,0,3,2,1,7,0,71.0,0.6610169491525423,0.7533333333333333,0.597
S1258,24,0,5.8,3.0,0.4,0,66.5,3.2,0,2,1,0,8,0,90.8,1.3181818181818181,0.5511111111111111,0.555
S1259,19,0,4.3,0.9,1.2,0,80.7,6.3,0,4,2,1,1,0,72.6,1.3870967741935485,0.7655555555555557,0.6023333333333333
S1260,17,1,4.3,3.8,1.1,0,95.3,4.8,0,1,1,0,8,0,70.9,0.7288135593220338,0.5488888888888889,0.6509999999999999
S1261,22,1,5.1,3.9,1.7,1,81.6,5.9,0,0,3,2,3,1,65.1,0.7727272727272726,0.53,0.6053333333333333
S1262,21,1,3.0,2.2,2.3,0,76.5,6.1,2,2,2,0,3,0,49.1,0.5454545454545454,0.31444444444444447,0.5883333333333334
S1263,17,0,2.2,2.4,2.3,1,94.3,6.1,2,5,0,0,6,0,62.7,0.38596491228070184,0.4811111111111111,0.3143333333333333
S1264,19,1,1.9,0.7,0.0,0,81.7,5.8,1,1,2,2,4,0,51.5,1.1176470588235294,0.4155555555555555,0.6056666666666667
S1265,18,0,0.6,3.1,3.0,0,79.9,5.2,1,1,0,1,4,0,18.4,0.08450704225352113,0.3955555555555555,0.5996666666666667
S1266,20,0,6.6,3.2,2.1,0,86.5,9.3,0,5,2,0,4,1,100.0,1.0476190476190474,0.9211111111111112,0.9550000000000001
S1267,24,0,1.8,2.4,3.3,1,92.7,8.7,0,3,0,1,10,0,53.3,0.2686567164179105,0.79,0.309
S1268,23,1,3.2,3.8,2.3,0,100.0,5.1,0,3,0,2,9,0,76.1,0.45070422535211274,0.6699999999999999,0.6666666666666666
S1269,19,0,3.1,2.1,3.0,0,93.3,8.4,1,4,0,0,8,0,85.6,0.5081967213114754,0.668888888888889,0.6443333333333333
S1270,22,1,4.0,3.2,2.3,1,96.6,6.0,1,4,1,1,3,1,63.0,0.6153846153846154,0.5888888888888889,0.6553333333333333
S1271,24,0,4.7,1.3,3.3,1,79.9,6.7,1,1,2,1,1,0,73.6,0.8392857142857144,0.44555555555555554,0.26633333333333337
S1272,24,1,4.8,2.5,2.4,1,74.7,6.4,1,6,1,1,1,0,76.2,0.8135593220338982,0.7133333333333334,0.249
S1273,24,1,2.6,2.3,1.7,0,85.6,5.7,0,1,0,1,1,1,45.5,0.52,0.5788888888888889,0.952
S1274,17,0,3.2,2.8,4.3,0,86.1,7.7,0,4,1,0,4,1,58.6,0.39506172839506176,0.8122222222222222,0.9536666666666666
S1275,20,1,3.9,2.1,2.8,0,74.2,6.7,0,5,0,0,6,0,77.8,0.6610169491525423,0.8344444444444444,0.5806666666666667
S1276,17,1,3.1,2.3,2.4,1,83.2,5.9,0,4,1,1,4,1,61.5,0.5438596491228072,0.7522222222222222,0.6106666666666667
S1277,22,0,5.9,3.5,0.4,0,89.0,4.9,1,1,3,1,3,0,71.4,1.2040816326530612,0.3855555555555556,0.63
S1278,17,0,4.2,2.0,0.4,0,88.6,5.4,0,2,2,1,8,1,93.9,1.2352941176470589,0.6244444444444445,0.9620000000000001
S1279,18,0,4.6,0.6,2.1,0,90.0,4.5,2,1,1,1,8,0,85.9,1.243243243243243,0.20555555555555557,0.6333333333333333
S1280,20,0,4.5,4.6,2.0,0,87.9,6.5,0,2,0,1,6,0,73.8,0.5921052631578948,0.6611111111111111,0.6263333333333333
S1281,20,0,5.3,4.2,1.1,1,79.9,5.1,1,2,1,0,9,0,83.3,0.8412698412698412,0.4477777777777778,0.26633333333333337
S1282,22,1,3.8,0.9,2.0,1,79.9,6.2,0,1,3,1,10,0,79.7,0.9743589743589743,0.5955555555555555,0.26633333333333337
S1283,23,1,1.6,3.3,3.5,1,73.0,8.1,1,6,1,1,1,0,47.1,0.20512820512820515,0.77,0.24333333333333332
S1284,18,1,4.1,1.9,2.6,0,100.0,7.9,0,6,0,1,8,0,91.9,0.7454545454545454,0.93,0.6666666666666666
S1285,19,0,2.5,2.8,0.5,1,85.1,6.5,2,0,3,2,6,1,60.6,0.5813953488372093,0.21666666666666667,0.617
S1286,17,0,2.7,2.9,1.7,0,82.8,6.4,0,4,2,0,1,0,46.6,0.4821428571428572,0.7688888888888888,0.6093333333333333
S1287,21,1,4.4,2.2,0.9,0,75.7,8.8,1,6,1,2,4,1,84.2,1.073170731707317,0.7933333333333333,0.919
S1288,17,1,5.4,1.6,1.4,0,100.0,7.1,0,3,1,0,5,0,95.5,1.35,0.7366666666666667,0.6666666666666666
S1289,24,0,3.5,1.7,1.3,0,74.3,6.1,1,1,1,1,7,1,73.5,0.875,0.4255555555555555,0.9143333333333333
S1290,17,1,4.0,1.4,1.3,0,80.7,4.8,0,2,3,2,8,0,75.9,1.081081081081081,0.6044444444444445,0.6023333333333333
S1291,19,0,6.1,1.5,0.4,0,89.2,7.0,2,1,0,0,9,0,100.0,2.103448275862069,0.28888888888888886,0.6306666666666666
S1292,17,0,3.9,2.4,1.7,1,91.0,7.5,1,4,2,0,6,1,74.2,0.7647058823529412,0.6388888888888888,0.6366666666666667
S1293,18,0,7.4,1.6,1.2,0,94.6,5.7,0,5,0,1,10,1,100.0,1.9473684210526319,0.8011111111111111,0.9819999999999999
S1294,18,1,4.3,3.3,0.0,0,100.0,6.8,0,6,1,0,9,0,94.9,1.0,0.8933333333333332,0.6666666666666666
S1295,20,0,0.9,4.3,4.1,0,90.1,6.1,1,6,1,0,4,0,27.6,0.09574468085106384,0.7033333333333333,0.6336666666666666
S1296,22,0,4.6,1.8,3.0,0,74.4,6.3,0,6,1,0,8,0,86.2,0.793103448275862,0.8766666666666666,0.5813333333333334
S1297,23,0,4.1,2.8,1.4,0,82.4,3.5,1,2,2,0,3,0,60.1,0.7884615384615385,0.39444444444444443,0.608
S1298,21,0,5.4,3.1,1.8,0,88.1,6.2,2,3,1,0,4,1,91.3,0.9152542372881357,0.37333333333333335,0.9603333333333333
S1299,24,0,4.5,3.1,0.5,0,100.0,7.7,0,3,0,0,10,0,93.8,0.9782608695652175,0.7566666666666667,0.6666666666666666
S1300,17,0,3.3,2.6,3.7,0,71.0,5.7,2,6,1,1,4,1,61.6,0.45205479452054786,0.5233333333333333,0.9033333333333333
S1301,17,1,1.7,3.4,3.9,1,97.0,6.6,1,3,1,0,6,0,41.7,0.2048192771084337,0.5533333333333333,0.3233333333333333
S1302,19,0,3.2,3.1,2.0,0,86.8,5.6,0,5,1,2,9,0,74.5,0.5245901639344263,0.7977777777777778,0.6226666666666666
S1303,22,0,2.2,1.0,2.9,0,93.4,6.9,1,6,3,1,6,0,63.7,0.4489795918367347,0.73,0.6446666666666667
S1304,18,1,2.6,3.5,2.0,0,84.0,6.2,1,0,0,0,1,0,39.6,0.4,0.37333333333333335,0.6133333333333333
S1305,21,0,4.4,3.6,0.3,0,76.6,5.4,0,2,1,1,5,1,87.5,0.8979591836734696,0.6244444444444445,0.922
S1306,20,0,6.0,1.6,1.3,0,92.5,8.1,0,5,0,0,9,0,100.0,1.5384615384615383,0.8811111111111112,0.6416666666666667
S1307,18,0,4.1,2.5,1.9,1,91.5,7.6,0,2,3,1,5,0,75.4,0.7592592592592592,0.6977777777777777,0.305
S1308,24,1,1.7,3.3,1.3,0,94.7,5.8,0,6,2,1,6,1,61.5,0.3035714285714286,0.86,0.9823333333333334
S1309,22,1,4.2,2.2,1.6,0,84.9,7.1,0,5,1,1,3,1,73.3,0.8749999999999999,0.8477777777777779,0.9496666666666668
S1310,24,2,5.3,3.8,1.7,0,79.0,7.1,1,6,2,0,8,0,96.3,0.8153846153846154,0.7366666666666667,0.5966666666666667
S1311,23,0,2.6,5.3,1.7,1,69.4,7.3,1,5,0,0,10,0,67.0,0.325,0.6877777777777778,0.23133333333333336
S1312,20,1,3.3,1.6,1.9,0,93.2,4.5,1,6,2,0,4,0,70.1,0.7333333333333333,0.65,0.644
S1313,23,0,3.5,0.8,0.6,0,89.2,7.7,1,0,1,1,4,0,84.2,1.4583333333333335,0.42333333333333334,0.6306666666666666
S1314,19,0,2.3,2.9,1.0,0,75.3,5.8,1,2,0,1,5,1,48.9,0.4693877551020407,0.4711111111111111,0.9176666666666667
S1315,24,0,4.5,3.4,0.4,0,79.6,6.1,0,5,1,2,10,0,98.8,0.9374999999999999,0.8144444444444444,0.5986666666666666
S1316,19,0,3.3,2.2,2.9,1,80.3,9.7,1,0,1,2,9,0,76.1,0.5409836065573771,0.49,0.26766666666666666
S1317,17,1,4.1,4.2,0.0,0,70.2,6.9,1,1,1,0,8,1,80.4,0.7884615384615383,0.45222222222222225,0.9006666666666666
S1318,23,1,2.2,0.9,3.1,0,76.8,6.0,0,6,1,2,7,0,64.1,0.44000000000000006,0.8666666666666667,0.5893333333333334
S1319,22,1,2.8,3.3,3.3,0,73.7,3.9,1,4,2,0,5,1,59.4,0.3684210526315789,0.5188888888888888,0.9123333333333333
S1320,24,0,4.6,1.8,1.5,0,80.9,8.2,0,5,3,2,9,1,94.2,1.069767441860465,0.8844444444444445,0.9363333333333334
S1321,21,1,2.9,4.6,0.0,1,77.6,4.9,1,3,0,1,9,1,67.8,0.5178571428571429,0.49666666666666665,0.592
S1322,20,1,6.1,4.9,1.4,0,68.7,5.3,1,0,0,1,10,0,96.1,0.8356164383561643,0.3433333333333333,0.5623333333333334
S1323,18,1,2.9,1.6,1.7,0,100.0,6.1,1,0,0,1,10,0,70.2,0.6744186046511628,0.36999999999999994,0.6666666666666666
S1324,22,0,3.8,1.8,0.7,0,97.5,8.2,0,5,0,0,2,0,84.2,1.0857142857142856,0.8844444444444445,0.6583333333333333
S1325,22,0,4.9,3.5,1.2,0,77.2,7.4,1,0,1,1,4,0,75.4,0.8596491228070176,0.41333333333333333,0.5906666666666667
S1326,19,1,1.4,2.0,3.5,0,87.7,6.3,0,1,0,1,8,0,41.7,0.21538461538461537,0.5988888888888889,0.6256666666666667
S1327,23,1,0.9,2.4,2.5,0,89.2,6.9,0,0,1,2,1,0,23.1,0.15254237288135591,0.5633333333333334,0.6306666666666666
S1328,24,0,1.2,2.5,0.8,1,96.9,5.8,1,4,2,1,5,0,50.3,0.27906976744186046,0.5822222222222222,0.323
S1329,24,1,5.4,0.2,0.0,0,76.8,6.7,0,4,0,0,8,0,100.0,4.500000000000001,0.778888888888889,0.5893333333333334
S1330,17,1,2.7,2.5,1.4,0,95.9,6.6,1,6,2,0,2,0,52.2,0.5510204081632653,0.7200000000000001,0.653
S1331,17,1,7.3,1.7,1.6,0,79.5,7.7,0,6,3,0,2,1,100.0,1.6976744186046508,0.9233333333333333,0.9316666666666666
S1332,20,1,2.7,1.9,2.3,0,71.6,7.7,0,3,1,2,8,0,71.2,0.5192307692307694,0.7566666666666667,0.572
S1333,19,1,3.8,4.2,1.2,0,92.2,7.1,1,1,1,1,10,0,72.3,0.5937499999999999,0.45888888888888885,0.6406666666666667
S1334,22,0,5.8,1.0,2.4,0,97.9,6.1,0,4,3,0,9,0,100.0,1.3181818181818181,0.7588888888888888,0.6596666666666667
S1335,24,1,6.5,3.5,3.9,0,100.0,7.4,2,5,1,0,7,1,100.0,0.7738095238095237,0.5244444444444444,1.0
S1336,21,0,6.6,2.2,2.7,0,73.0,6.4,1,2,0,2,8,1,100.0,1.11864406779661,0.4911111111111111,0.91
S1337,19,1,5.3,2.2,1.7,0,92.0,5.2,0,2,1,1,5,0,93.1,1.0816326530612244,0.6177777777777778,0.64
S1338,20,0,5.0,3.4,1.6,1,80.9,6.0,1,2,0,0,1,1,67.7,0.8333333333333334,0.4777777777777778,0.6030000000000001
S1339,20,0,4.4,2.9,1.4,0,92.8,6.6,0,6,2,1,4,1,77.9,0.8301886792452832,0.8866666666666667,0.976
S1340,19,1,4.7,3.2,3.1,1,70.3,7.6,0,5,0,1,2,0,80.3,0.6438356164383561,0.8644444444444445,0.2343333333333333
S1341,20,0,2.7,3.7,1.1,0,72.4,6.3,0,0,1,0,3,0,44.3,0.46551724137931033,0.5433333333333333,0.5746666666666668
S1342,19,1,2.3,2.1,1.8,0,77.2,5.0,0,5,1,0,3,0,54.7,0.4693877551020407,0.7777777777777778,0.5906666666666667
S1343,18,2,3.5,1.8,1.9,0,85.8,6.6,0,0,1,1,9,0,85.0,0.7446808510638299,0.5533333333333333,0.6193333333333334
S1344,19,1,3.2,1.2,1.2,0,78.6,6.6,0,2,1,2,10,1,81.7,0.9411764705882353,0.6644444444444444,0.9286666666666666
S1345,23,1,2.8,1.5,0.3,0,91.6,6.7,0,3,0,2,4,0,71.6,1.0,0.7233333333333333,0.6386666666666666
S1346,19,1,4.5,6.0,2.2,1,95.3,7.6,2,3,1,1,2,1,73.7,0.48913043478260876,0.42,0.6509999999999999
S1347,20,2,4.9,4.0,1.7,0,91.0,7.7,0,0,2,0,3,0,77.0,0.7313432835820896,0.59,0.6366666666666667
S1348,24,0,3.6,0.9,2.4,0,100.0,5.8,2,2,0,0,3,0,72.3,0.8372093023255814,0.30444444444444446,0.6666666666666666
S1349,23,0,5.7,0.9,1.2,0,89.2,5.8,2,5,0,0,7,0,100.0,1.8387096774193552,0.4711111111111111,0.6306666666666666
S1350,20,1,1.8,3.1,3.1,0,72.8,5.3,1,3,1,0,8,0,54.0,0.25000000000000006,0.51,0.576
S1351,17,0,3.2,3.2,0.8,0,98.6,7.3,1,0,1,1,6,0,70.4,0.64,0.41,0.662
S1352,17,1,2.4,3.2,3.7,0,78.9,8.2,1,5,0,1,4,1,47.0,0.30379746835443033,0.7177777777777777,0.9296666666666668
S1353,24,0,0.7,2.2,0.0,0,94.1,6.1,0,2,1,1,6,0,48.7,0.21874999999999997,0.6477777777777778,0.6469999999999999
S1354,24,1,3.4,2.3,2.3,0,100.0,6.2,1,1,1,1,1,0,47.6,0.6071428571428572,0.4288888888888889,0.6666666666666666
S1355,23,1,3.3,2.9,2.3,1,89.6,8.3,1,2,1,0,10,0,81.1,0.5322580645161291,0.5544444444444444,0.29866666666666664
S1356,18,1,5.8,2.6,0.9,1,70.0,7.1,1,6,1,0,8,0,100.0,1.2888888888888888,0.7366666666666667,0.2333333333333333
S1357,24,1,4.4,0.0,2.3,0,75.8,7.0,0,2,0,0,1,0,81.9,1.3333333333333335,0.6777777777777777,0.586
S1358,17,0,2.0,2.2,3.2,0,98.2,5.1,1,5,1,0,5,0,56.3,0.3125,0.6144444444444445,0.6606666666666666
S1359,19,1,6.3,1.5,0.0,0,83.3,7.3,1,5,0,1,2,1,100.0,2.52,0.6877777777777778,0.9443333333333334
S1360,20,0,5.3,2.7,2.4,1,85.8,5.4,1,4,1,1,6,0,81.0,0.8688524590163935,0.5688888888888889,0.286
S1361,17,1,4.4,6.1,0.0,0,92.6,5.1,2,4,0,0,9,1,84.9,0.619718309859155,0.39222222222222225,0.9753333333333334
S1362,17,0,3.2,2.9,0.7,0,92.0,6.1,0,5,2,2,5,0,67.9,0.6956521739130436,0.8144444444444444,0.64
S1363,18,1,2.1,2.1,3.6,0,87.8,5.8,0,5,2,2,4,0,56.9,0.31343283582089554,0.8044444444444444,0.626
S1364,23,1,2.9,3.6,1.2,0,82.9,6.2,0,1,1,0,2,0,45.9,0.5,0.5955555555555555,0.6096666666666667
S1365,23,0,5.1,3.1,0.5,1,81.9,4.8,1,1,3,2,3,0,76.0,1.108695652173913,0.3822222222222222,0.273
S1366,22,1,6.3,3.0,1.6,0,93.6,7.7,2,2,1,0,6,1,94.8,1.125,0.36777777777777776,0.9786666666666667
S1367,18,1,5.8,3.2,4.1,0,90.5,7.9,2,6,0,1,8,0,99.3,0.6987951807228915,0.5966666666666667,0.635
S1368,19,0,2.8,5.0,0.0,1,82.4,4.2,0,3,0,1,8,0,71.0,0.4666666666666666,0.64,0.27466666666666667
S1369,23,0,1.8,1.1,0.6,1,95.8,7.7,2,6,0,0,5,0,70.9,0.6666666666666666,0.59,0.3193333333333333
S1370,20,1,3.7,3.1,3.4,1,83.7,5.5,0,1,1,0,5,1,59.8,0.49333333333333335,0.5722222222222223,0.6123333333333334
S1371,24,1,0.8,1.4,3.8,1,76.5,7.5,1,2,0,0,10,0,36.0,0.12903225806451615,0.5277777777777778,0.255
S1372,18,0,4.0,3.2,1.7,0,77.4,6.4,0,6,1,1,3,0,68.4,0.6779661016949152,0.88,0.5913333333333334
S1373,24,1,3.3,1.4,0.4,0,75.2,6.5,2,0,0,1,7,1,72.9,1.1785714285714286,0.21666666666666667,0.9173333333333332
S1374,17,1,2.8,2.0,4.1,1,82.3,6.3,0,4,1,1,6,0,57.3,0.39436619718309857,0.7655555555555557,0.2743333333333333
S1375,20,1,1.1,2.1,3.6,1,97.3,8.0,0,6,0,0,1,1,50.3,0.16417910447761194,0.9333333333333332,0.6576666666666666
S1376,20,0,4.3,3.7,2.5,0,76.9,5.0,2,3,3,1,4,0,65.7,0.5972222222222222,0.3333333333333333,0.5896666666666667
S1377,17,0,2.7,3.6,0.9,0,86.9,7.2,1,2,1,2,6,1,67.9,0.49090909090909096,0.5177777777777778,0.9563333333333334
S1378,18,1,1.7,1.0,1.7,0,78.4,7.8,1,6,0,1,6,0,63.6,0.45945945945945943,0.7600000000000001,0.5946666666666667
S1379,17,1,0.0,2.6,1.6,0,82.4,7.4,1,5,1,0,3,0,32.9,0.0,0.6911111111111111,0.608
S1380,24,1,3.5,1.6,2.2,0,69.9,9.3,1,0,0,0,6,0,67.7,0.7291666666666665,0.47666666666666674,0.5663333333333334
S1381,22,0,6.2,1.0,3.4,0,82.8,5.9,2,4,0,1,10,0,100.0,1.1481481481481481,0.4188888888888889,0.6093333333333333
S1382,20,1,6.0,2.2,2.8,1,83.1,7.6,1,0,0,0,6,0,96.8,1.0,0.42,0.27699999999999997
S1383,21,1,2.8,2.1,0.6,0,90.4,6.4,1,2,1,2,9,1,71.0,0.7567567567567567,0.4911111111111111,0.968
S1384,21,0,2.6,5.4,3.3,0,87.2,8.0,1,1,1,2,9,0,59.8,0.2680412371134021,0.48888888888888893,0.624
S1385,24,1,4.2,3.0,2.1,0,73.0,6.5,2,4,0,2,2,0,64.2,0.6885245901639345,0.4388888888888889,0.5766666666666667
S1386,19,0,2.0,0.8,2.6,0,95.8,6.0,1,0,1,2,4,0,45.2,0.45454545454545453,0.3666666666666667,0.6526666666666666
S1387,23,1,4.0,1.8,3.4,0,87.1,8.1,1,1,0,2,9,1,82.9,0.6451612903225807,0.49222222222222217,0.957
S1388,17,1,4.6,3.7,0.6,0,87.0,5.9,1,3,1,0,4,1,73.2,0.8679245283018867,0.53,0.9566666666666667
S1389,17,1,5.3,5.0,1.8,0,84.9,4.8,2,2,1,0,8,0,79.6,0.6794871794871795,0.2711111111111111,0.6163333333333334
